team,team2
Villanova,Mount St. Mary's
Virginia Tech,Wisconsin
Virginia,UNC Wilmington
Florida,East Tennessee State
SMU,USC
Baylor,New Mexico St
South Carolina,Marquette
Duke,Troy
Gonzaga,South Dakota State
Northwestern,Vanderbilt
Notre Dame,Princeton
West Virginia,Bucknell
Maryland,Xavier
Florida State,Florida Gulf Coast
St Mary's CA,VA Commonwealth
Arizona,North Dakota
Kansas,UC Davis
Miami (FL),Michigan State
Iowa State,Nevada
Purdue,Vermont
Creighton,Rhode Island
Oregon,Iona
Michigan,Oklahoma State
Louisville,Jacksonville State
North Carolina,Texas Southern
Arkansas,Seton Hall
Minnesota,Middle Tennessee
Butler,Winthrop
Cincinnati,Kansas State
UCLA,Kent State
Dayton,Wichita State
Kentucky,Northern Kentucky
